name,team,nation,postion,age,mp,starts,min,gls,ast,pk,crdy,crdr,xg,xag
Kristoffer Ajer,Brentford,no NOR,DF,24,6,6,502,0,0,0,0,0,0,0
Mathias JÃ¸rgensen,Brentford,dk DEN,DF,32,8,5,457,0,0,0,0,0,0.4,0.1
Mads Roerslev,Brentford,dk DEN,DF,23,7,5,433,0,0,0,0,0,0.1,0.5
Frank Onyeka,Brentford,ng NGA,MF,24,12,4,442,0,1,0,0,0,0.4,0.5
Shandon Baptiste,Brentford,gd GRN,MF,24,12,4,431,0,0,0,1,0,0.2,0.7
Christian NÃ¸rgaard,Brentford,dk DEN,MF,28,5,4,338,1,0,0,0,0,0.4,0.1
Keane Lewis-Potter,Brentford,eng ENG,"FW,MF",21,7,3,287,0,1,0,0,0,0.5,1.2
Mikkel Damsgaard,Brentford,dk DEN,"MF,FW",22,9,1,267,0,0,0,2,0,0.4,0.4
Sergi CanÃ³s,Brentford,es ESP,"FW,DF",25,4,0,74,0,0,0,0,0,0.1,0
Saman Ghoddos,Brentford,ir IRN,"MF,FW",29,6,0,38,0,0,0,0,0,0,0
Mads Bech SÃ¸rensen,Brentford,dk DEN,"DF,MF",23,3,0,20,0,0,0,0,0,0,0
Halil DerviÅŸoÄŸlu,Brentford,tr TUR,MF,22,1,0,8,0,0,0,0,0,0,0
Matthew Cox,Brentford,eng ENG,GK,19,0,0,,,,,,,,
Tristan Crama,Brentford,fr FRA,MF,21,0,0,,,,,,,,
Finley Stevens,Brentford,wls WAL,DF,19,0,0,,,,,,,,
Thomas Strakosha,Brentford,al ALB,GK,27,0,0,,,,,,,,
Ryan Trevitt,Brentford,eng ENG,MF,19,0,0,,,,,,,,
Yehor Yarmoliuk,Brentford,ua UKR,MF,18,0,0,,,,,,,,
Squad Total,Brentford,,,,15,165,1350,23,12,4,21,0,20.3,12.9
Vicente Guaita,Crystal-Palace,es ESP,GK,35,14,14,1260,0,0,0,1,0,0,0
Marc GuÃ©hi,Crystal-Palace,eng ENG,DF,22,14,14,1260,0,0,0,5,0,0.2,0.1
Eberechi Eze,Crystal-Palace,eng ENG,"MF,FW",24,14,14,1139,2,3,0,0,0,2,2.1
Joachim Andersen,Crystal-Palace,dk DEN,DF,26,13,13,1170,1,0,0,2,0,0.9,0.4
Wilfried Zaha,Crystal-Palace,ci CIV,"FW,MF",30,13,13,1147,6,2,0,3,0,4.6,1.6
Jeffrey Schlupp,Crystal-Palace,gh GHA,MF,29,14,12,1094,0,0,0,3,0,1,0.3
Tyrick Mitchell,Crystal-Palace,eng ENG,DF,23,14,12,977,0,2,0,2,0,0.1,0.6
Cheick DoucourÃ©,Crystal-Palace,ml MLI,MF,22,12,12,963,0,1,0,4,0,0.4,1
Joel Ward,Crystal-Palace,eng ENG,DF,33,12,11,1021,0,0,0,4,0,0,0.1
Jordan Ayew,Crystal-Palace,gh GHA,"FW,MF",31,14,11,904,0,1,0,1,0,0.7,1.2
Odsonne Ã‰douard,Crystal-Palace,fr FRA,FW,24,13,9,767,3,2,0,3,0,1.9,0.8
Michael Olise,Crystal-Palace,fr FRA,"MF,FW",20,13,8,754,1,2,0,1,0,0.9,1.7
Nathaniel Clyne,Crystal-Palace,eng ENG,DF,31,8,7,580,0,0,0,1,0,0,0.3
Jean-Philippe Mateta,Crystal-Palace,fr FRA,FW,25,11,2,283,1,0,0,2,0,1.2,0.5
